"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","132","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3034","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","4840","0.0-2.0","1796","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","7557","0.0-4.0","2716.300000000745","","","[{""page_index"":0,""viewing_time"":1428.4000000022352},{""page_index"":1,""viewing_time"":832.2999999970198},{""page_index"":2,""viewing_time"":455.4000000022352}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","12011","0.0-5.0-0.0","","","","","","","","[0,1]","1","1","1897","1","1","[2,3]","1","3","550","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","1","[0.6,0.51,0.387,0.388]","0","0","false"
"","","","","","two-step-trial","5","16747","0.0-6.0-0.0","","","","","","","","[0,1]","1","1","331","1","1","[2,3]","1","3","2399","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","2","[0.6,0.49,0.376,0.364]","0","0","false"
"","","","","","two-step-trial","6","19899","0.0-7.0-0.0","","","","","","","","[0,1]","1","1","550","1","1","[2,3]","0","2","585","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","3","[0.612,0.488,0.376,0.385]","0","0","false"
"","","","","","two-step-trial","7","23099","0.0-8.0-0.0","","","","","","","","[0,1]","1","1","569","0","0","[0,1]","1","1","616","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","4","[0.659,0.517,0.37,0.352]","0","0","false"
"","","","","","two-step-trial","8","26091","0.0-9.0-0.0","","","","","","","","[0,1]","0","0","459","0","1","[2,3]","0","2","526","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","5","[0.676,0.497,0.349,0.378]","0","0","false"
"","","","","","two-step-trial","9","42355","0.0-10.0-0.0","","","","","","","","[0,1]","1","1","444","1","1","[2,3]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","6","[0.682,0.475,0.347,0.386]","0","1","true"
